#route_long_name,stop,week,sat,sun
Homewood Peabody JHMI,JHMI - Broadway,6:00am;6:15am;6:30am;6:45am;7:00am;7:15am;7:30am;7:36am;7:42am;7:48am;7:54am;8:00am;8:06am;8:12am;8:18am;8:24am;8:30am;8:36am;8:42am;8:48am;8:54am;9:00am;9:10am;9:20am;9:30am;9:40am;9:50am;10:00am;10:15am;10:30am;10:45am;11:00am;11:15am;11:30am;11:45am;12:00pm;12:15pm;12:30pm;12:45pm;1:00pm;1:15pm;1:30pm;1:45pm;2:00pm;2:15pm;2:30pm;2:45pm;3:00pm;3:06pm;3:12pm;3:18pm;3:24pm;3:30pm;3:36pm;3:42pm;3:48pm;3:54pm;4:00pm;4:06pm;4:12pm;4:18pm;4:24pm;4:30pm;4:36pm;4:42pm;4:48pm;4:54pm;5:00pm;5:06pm;5:12pm;5:18pm;5:24pm;5:30pm;5:36pm;5:42pm;5:48pm;5:54pm;6:00pm;6:10pm;6:20pm;6:30pm;6:45pm;7:00pm;7:15pm;7:30pm;7:45pm;8:00pm;8:15pm;8:30pm;9:00pm;9:30pm;10:00pm;10:30pm;11:00pm;11:30pm;12:00am;12:30am,7:25am;7:50am;8:15am;8:40am;9:05am;9:30am;9:55am;10:20am;10:45am;11:10am;11:35am;12:00pm;12:25pm;12:50pm;1:15pm;1:40pm;2:05pm;2:30pm;2:55pm;3:20pm;3:45pm;4:10pm;4:35pm;5:00pm;5:25pm;5:50pm;6:15pm;6:40pm;7:05pm;7:30pm;7:55pm;8:20pm;8:45pm;9:10pm;9:35pm;10:00pm;10:25pm;10:50pm;11:15pm;11:40pm;12:05am;12:30am,11:10am;11:35am;12:00pm;12:25pm;12:50pm;1:15pm;1:40pm;2:05pm;2:30pm;2:55pm;3:20pm;3:45pm;4:10pm;4:35pm;5:00pm;5:25pm;5:50pm;6:15pm;6:40pm;7:05pm;7:30pm;7:55pm;8:20pm;8:45pm;9:10pm;9:35pm;10:00pm;10:25pm;10:50pm;11:15pm;11:40pm
Homewood Peabody JHMI,Interfaith Center,6:00am;6:15am;6:30am;6:45am;7:00am;7:15am;7:30am;7:36am;7:42am;7:48am;7:54am;8:00am;8:06am;8:12am;8:18am;8:24am;8:30am;8:36am;8:42am;8:48am;8:54am;9:00am;9:06am;9:12am;9:18am;9:24am;9:30am;9:40am;9:50am;10:00am;10:10am;10:20am;10:30am;10:45am;11:00am;11:15am;11:30am;11:45am;12:00pm;12:15pm;12:30pm;12:45pm;1:00pm;1:15pm;1:30pm;1:45pm;2:00pm;2:15pm;2:30pm;2:45pm;3:00pm;3:15pm;3:30pm;3:36pm;3:42pm;3:48pm;3:54pm;4:00pm;4:06pm;4:12pm;4:18pm;4:24pm;4:30pm;4:36pm;4:42pm;4:48pm;4:54pm;5:00pm;5:06pm;5:12pm;5:18pm;5:24pm;5:30pm;5:36pm;5:42pm;5:48pm;5:54pm;6:00pm;6:10pm;6:20pm;6:30pm;6:40pm;6:50pm;7:00pm;7:15pm;7:30pm;7:45pm;8:00pm;8:15pm;8:30pm;8:45pm;9:00pm;9:30pm;10:00pm;10:30pm;11:00pm;11:30pm;12:00am;12:30am,7:25am;7:50am;8:15am;8:40am;9:05am;9:30am;9:55am;10:20am;10:45am;11:10am;11:35am;12:00pm;12:25pm;12:50pm;1:15pm;1:40pm;2:05pm;2:30pm;2:55pm;3:20pm;3:45pm;4:10pm;4:35pm;5:00pm;5:25pm;5:50pm;6:15pm;6:40pm;7:05pm;7:30pm;7:55pm;8:20pm;8:45pm;9:10pm;9:35pm;10:00pm;10:25pm;10:50pm;11:15pm;11:40pm;12:05am;12:30am,11:10am;11:35am;12:00pm;12:25pm;12:50pm;1:15pm;1:40pm;2:05pm;2:30pm;2:55pm;3:20pm;3:45pm;4:10pm;4:35pm;5:00pm;5:25pm;5:50pm;6:15pm;6:40pm;7:05pm;7:30pm;7:55pm;8:20pm;8:45pm;9:10pm;9:35pm;10:00pm;10:25pm;10:50pm;11:15pm;11:40pm
